ecoregion,lfp_cat,kelp_area_km2,pct_area
Agulhas Bank,None,14.473372168648226,0.8128277813729293
Agulhas Bank,Less,1.4322696615605957,0.08043658089963891
Agulhas Bank,Moderately,0.1926634527107622,0.010820022106372973
Agulhas Bank,Heavily,0.9152509511184668,0.05140069579697465
Agulhas Bank,Most,0.7926414628487068,0.04451491982408421
Araucanian,None,4.478193026275045,0.990701846739796
Araucanian,Least,0.04202972390140159,0.009298153260204037
Auckland Island,Most,1.3382336193252347,1
Bassian,None,6.669685924836189,0.9539493385497307
Bassian,Least,0.06382952877101578,0.009129385916705965
Bassian,Less,0.0390136012455807,0.005580022736014923
Bassian,Heavily,0.12944376727829232,0.018514034628631337
Bassian,Most,0.08968350101913597,0.012827218168917017
Bounty and Antipodes Islands,Most,0.013117865503307917,1
Campbell Island,Most,0.09953900239706799,1
Cape Howe,None,0.037737723469486256,0.8848028367903753
Cape Howe,Least,0.0016378365064605987,0.03840089581150624
Cape Howe,Most,0.003275437399219739,0.07679626739811837
Central Chile,None,1.0047256260727897,0.9714900196625077
Central Chile,Least,0.006351280359080786,0.006141184539149474
Central Chile,Moderately,0.023134053781419157,0.02236879579834285
Central New Zealand,None,0.41023826737811836,0.5538600171979428
Central New Zealand,Least,0.07626326251846549,0.10296253482154187
Central New Zealand,Moderately,0.24495181391008602,0.33070785115192775
Central New Zealand,Most,0.009236098723543073,0.012469596828587616
Channels and Fjords of Southern Chile,None,315.1671786020415,0.6815227435281012
Channels and Fjords of Southern Chile,Least,144.58087890413856,0.31264409476112376
Channels and Fjords of Southern Chile,Moderately,2.6313481404279853,0.005690070938847538
Channels and Fjords of Southern Chile,Most,0.06617169463624542,1.4309077192756136e-4
Chatham Island,None,1.501810438531938,1
Chiloense,None,43.13385412336765,0.9913292455189286
Chiloense,Least,0.25748573435524247,0.005917698382347593
Chiloense,Less,0.0033164014043822396,7.6219613778104e-5
Chiloense,Moderately,0.11647217609656571,0.0026768364849457053
Crozet Islands,None,0.0049078552462226855,0.0010960254542713816
Crozet Islands,Moderately,5.508758570370271e-4,1.2302195789511865e-4
Crozet Islands,Most,4.4724073869654495,0.9987809525878335
Eastern Bering Sea,None,2.539006598550423,1
Gulf of Alaska,None,31.907341697246256,0.9310598546168842
Gulf of Alaska,Least,0.2740087452435589,0.00799560630687829
Gulf of Alaska,Less,1.8880113525613647,0.055092385699511956
Gulf of Alaska,Most,0.20055279639643747,0.005852153376725583
Humboldtian,None,7.497176005419192,0.6131345783945216
Humboldtian,Least,4.3433358565139075,0.3552070002470967
Humboldtian,Moderately,0.38710711374165585,0.03165842135838177
Kerguelen Islands,None,2.445069030681018,0.010724938831525036
Kerguelen Islands,Most,225.53469561785457,0.989275061168475
Macquarie Island,Most,0.787017485441722,1
