realm,lfp_cat,kelp_area_km2,pct_area
Arctic,None,2.539006598550423,1
"Southern
Ocean",None,2.4695601513054237,0.010052405605785611
"Southern
Ocean",Moderately,5.508758570370271e-4,2.242353785326404e-6
"Southern
Ocean",Most,243.19846305863456,0.9899453520404291
"Temperate
Australasia",None,11.878070517443799,0.8907041303127868
"Temperate
Australasia",Least,0.14173062779594187,0.010627993442560987
"Temperate
Australasia",Less,0.10773970419572376,0.008079106735801806
"Temperate
Australasia",Moderately,0.8372720601760852,0.0627847495179567
"Temperate
Australasia",Heavily,0.12944376727829232,0.009706635264431334
"Temperate
Australasia",Most,0.24133941299535946,0.018097384726462346
"Temperate
Northern
Pacific",None,465.8203811582796,0.6236725893896061
"Temperate
Northern
Pacific",Least,122.5430293053395,0.16406909506292874
"Temperate
Northern
Pacific",Less,50.98417868821143,0.06826114963307037
"Temperate
Northern
Pacific",Moderately,50.47613734207199,0.06758094869150594
"Temperate
Northern
Pacific",Heavily,14.957834713454012,0.02002658510605572
"Temperate
Northern
Pacific",Most,42.11735512017054,0.056389632116833066
"Temperate
South
America",None,967.5549040609453,0.829986403484172
"Temperate
South
America",Least,149.75642680700477,0.12846381901688678
"Temperate
South
America",Less,0.0033164014043822396,2.8448701593885886e-6
"Temperate
South
America",Moderately,48.36707762718134,0.04149016933130584
"Temperate
South
America",Most,0.06617169463624542,5.676329747601667e-5
"Temperate
Southern
Africa",None,33.054726611314656,0.7802390885047447
"Temperate
Southern
Africa",Less,3.858222004246164,0.0910712605564717
"Temperate
Southern
Africa",Moderately,1.4463578473594283,0.034140501046803905
"Temperate
Southern
Africa",Heavily,1.197012580300587,0.028254839786293943
"Temperate
Southern
Africa",Most,2.8085497493193503,0.06629431010568582
